Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C2,0.1uF,2,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
2,C3,47uF,1,CAP TANT 47UF 35V 10% 2917,399-3821-1-ND,digikey
3,D1,diode_schottky_45V_10A,1,DIODE SCHOTTKY 45V 10A CFP15,568-11697-1-ND,digikey
4,D2 D3 D4 D5 D6 D7 D8 D9,diode_schottky_40V_1A,8,DIODE SCHOTTKY 40V 1A SMA,SS14CT-ND,digikey
5,L1 L2 L3 L4 L5,LED_24V,5,LED 2MM 24V VERTICAL RED PC MNT,350-1723-ND,digikey
6,MDB1,MODULAR_DEVICE_BASE_3X2_MALE,2,16 Position Header Through Hole Male Pins,S1011E-16-ND,digikey
7,P1,PWR_JACK_2.5x5.5,1,CONN PWR JACK DC 2.5X5.5 8A T/H,CP-063BH-ND,digikey
8,R1 R2,0.5,2,RES SMD 0.5 OHM 1% 1W 2010,CSRN2010FKR500CT-ND,digikey
9,SW1 SW2 SW3,SPST_SLIDE_AS,3,SWITCH SLIDE SPST 0.4VA 28V,360-2610-ND,digikey
10,T1 T2,TERM_BLK_HDR_2POS_VERT_0.2IN,2,TERM BLOCK HDR 2POS VERT 5.08MM,277-1150-ND,digikey
11,U1,L298,1,IC BRIDGE DRIVER PAR 20POWERSO,497-3624-1-ND,digikey
